Identifier,Country,Year,M0/GDP,M1/GDP,M0/M1,âˆ† Debt/GDP,Debt Growth,Invest/GDP,REER,Inflation Rate,ST Interest,HPI,Curve,UR,CreditSprd,Nom GDPg,Depression,Depression_prob
Australia2016,Australia,2016,0.060902302,0.465469219,0.130840666,0.028949974,0.116069605,0.243833143,1.181694031,1.277287483,1.986666679,9.680496216,0.354166746,5.717000008,0.486666679,0.036529004,0,0.015395972442896403
Australia2017,Australia,2017,0.061123469,0.477718925,0.127948602,0.005740012,0.075912503,0.244139907,2.780639648,1.994955301,1.74000001,6.776397705,0.901249886,5.599999905,0.24000001,0.060920997,0,0.0038002164699164707
Australia2018,Australia,2018,0.060336978,0.464443742,0.12991235,0.005630008,0.066963769,0.24180048,-3.817802429,1.933453202,1.948333383,-7.357192993,0.73333323,5.282999992,0.448333383,0.052578468,0,0.49758719521513206
Australia2019,Australia,2019,0.058728282,0.539184495,0.108920569,0.049620015,0.177209454,0.225997372,-3.934509277,1.565946221,1.344166636,3.388198853,0.15291667,5.175000191,0.594166636,0.052181311,0,0.03754254223791245
Australia2020,Australia,2020,0.10371132,0.695299892,0.149160558,0.103719966,0.210798624,0.223291432,-0.69997406,0.890336573,0.25666666,5.033905029,0.663500011,6.474999905,0.156666659,-0.00916914,0,0.4078184676882486
Australia2021,Australia,2021,0.233582161,0.738731389,0.316193632,-0.015549971,0.084435573,0.232313167,5.209037781,2.819629908,0.028333334,34.07550049,1.451416703,5.125,-0.071666667,0.114799009,0,0.04491280836180717
Australia2022,Australia,2022,0.227508206,0.662114729,0.343608435,-0.053150015,0.016924274,0.237355717,0.565673828,6.615030289,1.636666656,-5.473007202,1.559666753,3.707999945,-1.463333249,0.124545516,0,0.07575682436598255
Australia2023,Australia,2023,0.17330702,0.626698047,0.276539908,-0.012490007,0.029673689,0.239359511,-0.736984253,5.635185719,3.979166746,12.5,-0.037583351,3.700000048,-0.370833158,0.055934346,0,0.09928129858405697
Australia2024,Australia,2024,0.129912682,0.650244049,0.199790651,0.008550009,0.053777826,0.244934226,1.665840149,3.173897743,4.385000229,10.08099365,-0.143917084,4.109651566,0.035000324,0.035696005,0,0.05556452306120193
United Kingdom2016,United Kingdom,2016,0.040366632,0.814492543,0.049560468,-0.000420048,0.03873926,0.179347223,-11.25267029,0.641613185,0.498991668,6.483802795,0.72100836,4.875,0.248991668,0.039236067,0,0.17024693107414682
United Kingdom2017,United Kingdom,2017,0.042852501,0.817177772,0.052439632,-0.011019947,0.032489127,0.18483185,-5.208587646,2.690842867,0.358951658,5.81879425,0.82104829,4.425000191,-0.141048342,0.045609032,0,0.1323570227239962
United Kingdom2018,United Kingdom,2018,0.044779328,0.82501589,0.054276928,-0.003780011,0.029023402,0.181814465,1.734977722,2.475207567,0.722835839,3.158798218,0.687164128,4.074999809,-0.027164161,0.033528261,0,0.2867091241126804
United Kingdom2019,United Kingdom,2019,0.042711867,0.811201023,0.05265263,-0.006880032,0.029650531,0.183786714,-0.439552307,1.778127432,0.807850003,1.163803101,0.072149992,3.825000048,0.057850003,0.037920758,0,0.43875093865752945
United Kingdom2020,United Kingdom,2020,0.087091945,1.036152843,0.084053184,0.201829999,0.163479645,0.175811486,0.201393127,0.881261587,0.295590073,7.979995728,0.02440992,4.625,0.195590071,-0.058388367,0,0.2871435218130638
Japan2016,Japan,2016,0.803563247,1.263571345,0.635946083,0.041430052,0.030131771,0.248355426,9.49811554,-0.118774921,-0.227916673,2.633598328,0.181116674,3.10800004,-0.127916671,0.011769225,0,0.4824222448543939
Japan2017,Japan,2017,0.867873823,1.328131657,0.653454662,-0.010999943,0.011188917,0.252148259,-3.768737793,0.484158665,-0.207666665,1.933502197,0.262666665,2.816999912,-0.107666664,0.015997396,0,0.11783128687764584
Japan2018,Japan,2018,0.905837874,1.390975982,0.651224669,0.01058991,0.011038898,0.256417332,-0.670967102,0.98901099,0.069004275,2.733596802,0.004495725,2.433000088,0.169004276,0.00643144,0,0.13587105992503273
Japan2019,Japan,2019,0.928898297,1.466196065,0.633543029,0.040010034,0.019558169,0.257896716,2.138816833,0.451996326,0.068035826,1.066703796,-0.164835826,2.35800004,0.168035828,0.002301047,0,0.229798698965706
Japan2020,Japan,2020,1.144463504,1.725940025,0.663095755,0.219879873,0.057241377,0.252238493,0.689041138,0.008332639,0.071666665,1.766799927,-0.065666665,2.799999952,0.171666667,-0.032733083,0,0.2575598051241623
Japan2021,Japan,2021,1.211364806,1.799138052,0.673302865,-0.047169891,0.006306429,0.257968344,-6.619590759,-0.258290291,0.065785244,7.800697327,-0.003685243,2.816999912,0.165785246,0.025020007,0,0.7378440499869395
Japan2022,Japan,2022,1.125777739,1.855912094,0.606590012,-0.053429841,-0.005843518,0.268107088,-9.500011444,2.506056309,0.063473195,9.200698853,0.164426804,2.592000008,0.163473196,0.015548223,0,0.43121229420698876
Japan2023,Japan,2023,1.135051149,1.825783583,0.621678911,0.013599533,0.06134833,0.263764616,-3.065166473,3.251568794,0.072815172,2.666900635,0.486184843,2.575000048,0.172815174,0.055567138,0,0.2908143439709927
Japan2024,Japan,2024,1.086056735,1.80431219,0.601922849,-0.130089733,-0.028134185,0.266310353,-3.117298126,2.591556549,0.311860472,3.766998291,0.58763954,2.544518232,0.061860472,0.025288348,1,0.5888916999530142
South Korea2016,South Korea,2016,0.078250522,0.403167245,0.194089484,0.003010016,0.061153888,0.299824008,-2.998428345,0.971685767,1.49333334,1.73400116,0.254083276,3.674999952,0.24333334,0.052994041,0,0.005449684586664296
South Korea2017,South Korea,2017,0.080590561,0.417261711,0.19314152,-0.011330018,0.024670576,0.319652864,4.021224976,1.944332361,1.443333387,1.428100586,0.839249849,3.683000088,-0.056666613,0.055213145,0,0.005268108430924033
South Korea2018,South Korea,2018,0.085877174,0.420309196,0.204319047,-0.001569993,0.033321239,0.312486543,9.916320801,1.475839376,1.679999948,3.824996948,0.822749972,3.832999945,-0.070000052,0.037606936,0,0.013701003841600818
South Korea2019,South Korea,2019,0.094006582,0.433687052,0.21676133,0.018759998,0.067140514,0.311955896,-5.370071411,0.383000314,1.696666718,0.101997375,0.005583286,3.782999992,0.446666718,0.016751504,0,0.19456100276154875
South Korea2020,South Korea,2020,0.107606167,0.521897714,0.206182483,0.061850014,0.165797667,0.315248695,-10.63882446,0.53728801,0.923333347,8.721199036,0.576333344,3.954999924,0.423333347,0.008758358,0,0.057562640169598764
South Korea2021,South Korea,2021,0.111969066,0.580953498,0.192733267,0.020729977,0.128135434,0.324929168,1.990539551,2.498333216,0.850000024,20.55340576,1.21450007,3.674999952,-0.149999976,0.079401956,0,0.04449504037596312
South Korea2022,South Korea,2022,0.118756218,0.573051306,0.207234879,0.018100014,0.085294277,0.333254841,-7.136871338,5.089513779,2.474999905,-0.102096558,0.888500214,2.882999897,-0.775000095,0.045847228,0,0.06505396292517743
South Korea2023,South Korea,2023,0.114142181,0.499718166,0.228413111,-0.042997167,-0.055908132,0.322372161,-0.761154175,3.597456217,3.709166765,-8.517105103,-0.066833496,2.707999945,0.209166765,0.033311223,0,0.5921987935562616
South Korea2024,South Korea,2024,0.110586909,0.484400832,0.228296282,0.069897123,0.23159483,0.309514211,-8.81729126,2.311234713,3.518333435,-0.152999878,-0.301250219,2.653397322,0.518333435,0.067586026,0,0.048758754874394544
Norway2016,Norway,2016,0.029572056,0.591345412,0.050008093,0.036040015,0.099974575,0.277263253,0.496406555,3.558333397,1.066666722,13.07620239,0.264999986,4.739999771,0.566666722,-0.004519864,0,0.032817976445875356
Norway2017,Norway,2017,0.033416057,0.585201241,0.057101822,0.00318999,0.075419589,0.275528625,0.793663025,1.874949694,0.889999986,1.046112061,0.747500062,4.21600008,0.389999986,0.066452399,0,0.027041574266860692
Norway2018,Norway,2018,0.023771306,0.586249549,0.0405481,0.011559971,0.108798968,0.277269269,0.436599731,2.725118399,1.066666722,3.268997192,0.8125,3.854000092,0.316666722,0.076277503,0,0.01388304684807629
Norway2019,Norway,2019,0.027773631,0.601055843,0.04620807,0.01145001,0.034908171,0.296114722,-2.36441803,2.191464901,1.55250001,3.792098999,-0.058333397,3.727999926,0.05250001,0.005691469,0,0.19919877197329505
Norway2020,Norway,2020,0.027074381,0.712077306,0.038021688,0.055540034,0.094153811,0.313521446,-5.492996216,1.301730633,0.699166656,11.376297,0.11833334,4.59499979,0.699166656,-0.037632575,0,0.026112838269966448
Norway2021,Norway,2021,0.01454972,0.629882246,0.023099111,-0.044710016,0.128008275,0.250880911,4.968170166,3.46133852,0.504166663,12.94540405,0.911703765,4.409999847,0.004166663,0.249122726,0,0.2734190728265781
Norway2022,Norway,2022,0.011616624,0.490339714,0.02369097,-0.055299986,0.149778732,0.211777624,-2.14276886,5.779309273,2.138333321,4.576690674,0.740079641,3.252000093,-0.611666679,0.325854569,0,0.18771239215408564
Norway2023,Norway,2023,0.019203973,0.524645753,0.036603695,0.078927165,0.083372908,0.241972021,-6.855430603,5.511062622,4.210000038,-1.307693481,-0.779190302,3.595000029,-0.289999962,-0.110946021,0,0.8872200601014767
Norway2024,Norway,2024,0.02537147,0.539848156,0.046997418,-0.012847135,-0.02895443,0.237861378,-0.446983337,3.22336936,4.750833511,8.6302948,-1.247223616,3.980621815,0.250833511,0.000248388,0,0.09598641247200507
New Zealand2016,New Zealand,2016,0.052616911,0.226007573,0.232810391,-0.008260028,0.033696512,0.229482998,1.071037292,0.646237254,2.035000086,20.31399536,0.726666689,5.175000191,0.285000086,0.059305711,0,0.008770245375796317
New Zealand2017,New Zealand,2017,0.05258228,0.228803826,0.229813815,-0.022429994,0.001701646,0.232940601,1.69594574,1.850787044,1.763333321,6.598098755,1.227499962,4.75,0.013333321,0.073951187,0,0.00023770002694682818
New Zealand2018,New Zealand,2018,0.048392258,0.237562321,0.203703422,-0.030179987,-0.046572465,0.242005766,-4.582702637,1.598297954,1.710833311,5.61390686,1.043333292,4.324999809,-0.039166689,0.055900578,0,0.002419326482711799
New Zealand2019,New Zealand,2019,0.046932395,0.251209091,0.18682602,0.037339993,0.197816551,0.240363627,-1.6354599,1.619631886,1.289999962,8.351501465,0.359166741,4.099999905,0.289999962,0.057229194,0,0.007085801771403913
New Zealand2020,New Zealand,2020,0.117967449,0.355597607,0.331744216,0.114270008,0.373654102,0.221007912,-0.800712585,1.714561701,0.35041666,29.43479919,0.540416658,4.599999905,0.10041666,0.010648012,0,0.09544914335585455
New Zealand2021,New Zealand,2021,0.152099149,0.400948671,0.379348181,0.042819998,0.199494647,0.250553544,6.73387146,3.941120625,0.391666681,55.13389587,1.423333377,3.775000095,-0.358333319,0.091415699,0,0.14253977971704948
New Zealand2022,New Zealand,2022,0.172749319,0.339348671,0.509061428,-0.006360001,0.065655005,0.260913844,-1.800605774,7.172224998,2.682499886,-28.88729858,0.956666708,3.299999952,-1.567500114,0.080110113,0,0.16565768877203157
New Zealand2023,New Zealand,2023,0.147531682,0.298019911,0.495039681,-0.011149071,0.037336455,0.240258377,-0.121063232,5.73316288,5.382500172,-1.469299316,-0.758333683,3.724999905,-0.117499828,0.062603679,0,0.37476449590811856
New Zealand2024,New Zealand,2024,0.11329859,0.289945774,0.390757861,0.053819067,0.160845929,0.228787521,0.465026855,2.866818666,5.159166813,-4.304000854,-0.646667004,4.736189365,0.909166813,0.038713457,0,0.2187761374345576
United States2016,United States,2016,0.002016866,0.172769575,0.011673736,0.019259953,0.046750935,0.208879578,4.662582397,1.267360568,0.317499995,6.888999939,1.515400052,4.875,-0.307500005,0.027870645,0,0.017897872980186417
United States2017,United States,2017,0.001833307,0.179712149,0.010201351,-0.010519999,0.032649389,0.211557728,-0.229560852,2.131444931,0.93083334,8.126098633,1.395766735,4.357999802,-0.44416666,0.042924312,0,0.006256094166201346
United States2018,United States,2018,0.001851619,0.178180241,0.010391832,0.013130096,0.06633364,0.215690729,-1.130592346,2.438999414,1.939166665,6.611099243,0.972933412,3.89199996,-0.435833335,0.053253547,0,0.004726086221290335
United States2019,United States,2019,0.155380817,0.178519973,0.870383378,0.011559951,0.054030805,0.216698092,3.243782043,1.813258648,2.071666718,6.696609497,0.06763339,3.674999952,0.446666718,0.042769361,0,0.6509565718149946
United States2020,United States,2020,0.161214912,0.598564098,0.269336087,0.238349987,0.209762163,0.214188195,1.556434631,1.249188781,0.38166666,14.96289063,0.501133323,8.100000381,0.25666666,-0.008629441,0,0.1692825145048076
United States2021,United States,2021,0.221610672,0.817330394,0.271139644,-0.073159971,0.047525932,0.213332787,-2.378990173,4.682188988,0.043888889,29.25959778,1.393811144,5.357999802,-0.081111111,0.108975118,0,0.11862890802431716
United States2022,United States,2022,0.23470317,0.784251728,0.299270198,-0.059100005,0.046168159,0.219497739,11.13935089,7.991690159,2.227499962,14.27861023,0.71239996,3.64199996,-2.147500038,0.098209759,0,0.2631705218257632
United States2023,United States,2023,0.192238943,0.667402819,0.288040353,0.001919987,0.067621174,0.215410356,0.782531738,4.128269672,5.177499771,12.15550232,-1.219299793,3.632999897,-0.197500229,0.065898609,0,0.10207151002133731
United States2024,United States,2024,0.200321046,0.620240691,0.322973079,0.017879988,0.068080998,0.218616381,3.015426636,2.926926136,5.074166775,7.640686035,-0.866066933,4.021101475,0.699166775,0.052270162,0,0.3605519528945294
United States2025,United States,2025,0.184261164,0.610303015,0.301917506,0.016780052,0.058988188,0.222135943,-4.097816467,2.40043354,4.005000114,-0.020996094,0.085000038,4.138915062,-0.369999886,0.044477902,0,0.7965258407401591
